"mid","attached_to_node_reference","mid_reference","payment_method","_type"
"1736692657",fbec38c1-1f95-489d-8eeb-7ac320deb85e,c5fea869-670a-4784-9160-a445a17d1515,AMERICAN_EXPRESS,merchant
"200860215413","4ec64d0d-95ba-43eb-b069-37e203b5c898",e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant
"200860215413","4ec64d0d-95ba-43eb-b069-37e203b5c898",e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant
"200860215413","4ec64d0d-95ba-43eb-b069-37e203b5c898",e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant
"200860215413","4ec64d0d-95ba-43eb-b069-37e203b5c898",e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant
"200860215413","4ec64d0d-95ba-43eb-b069-37e203b5c898",e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant
"200860215413","4ec64d0d-95ba-43eb-b069-37e203b5c898",e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant
"200860215413","4ec64d0d-95ba-43eb-b069-37e203b5c898",e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant
"200860215413","4ec64d0d-95ba-43eb-b069-37e203b5c898",e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant
"001736692657","4ec64d0d-95ba-43eb-b069-37e203b5c898","6df089ab-c1c6-46bf-95dc-ed8f9eb8b2a4",AMERICAN_EXPRESS,merchant
"001000000044","4ec64d0d-95ba-43eb-b069-37e203b5c898",af9db4e2-d5a6-4f23-8233-bfef050fa6a0,,merchant
"500005000","4ec64d0d-95ba-43eb-b069-37e203b5c898",d40ea189-b3d0-458e-beae-08327f0d8945,,merchant
"0000202408",f99b56a2-7f55-4164-9ef7-47e83e3e52bf,d942e455-29db-40a5-8822-5d945eb2ef64,AMERICAN_EXPRESS,merchant_organisation_unit
